Month,South,West,Midwest,Northeast,South Atlantic,Mountain,East North Central,New England,East South Central,Pacific,West North Central,Middle Atlantic,West South Central
9-Oct,-0.40%,-0.30%,-0.20%,0.20%,,,,,,,,,
9-Nov,2.00%,1.20%,2.20%,2.00%,,,,,,,,,
9-Dec,2.90%,2.20%,3.00%,2.80%,,,,,,,,,
10-Jan,2.80%,1.90%,2.90%,3.00%,,,,,,,,,
10-Feb,2.30%,1.40%,2.50%,2.50%,,,,,,,,,
10-Mar,2.50%,1.60%,2.60%,2.60%,,,,,,,,,
10-Apr,2.40%,1.50%,2.70%,2.50%,,,,,,,,,
10-May,2.00%,1.30%,2.40%,2.60%,,,,,,,,,
10-Jun,0.90%,0.60%,1.20%,1.70%,,,,,,,,,
10-Jul,1.00%,0.80%,1.70%,1.60%,,,,,,,,,
10-Aug,1.10%,0.70%,1.50%,1.40%,,,,,,,,,
10-Sep,1.40%,0.50%,1.60%,1.20%,,,,,,,,,
10-Oct,1.30%,0.60%,1.50%,1.50%,,,,,,,,,
10-Nov,1.10%,0.90%,1.20%,1.50%,,,,,,,,,
10-Dec,1.40%,1.30%,1.80%,1.60%,,,,,,,,,
11-Jan,1.70%,1.40%,1.90%,1.60%,,,,,,,,,
11-Feb,2.20%,1.90%,2.20%,2.00%,,,,,,,,,
11-Mar,2.80%,2.60%,2.70%,2.50%,,,,,,,,,
11-Apr,3.40%,3.00%,3.30%,2.80%,,,,,,,,,
11-May,4.00%,3.20%,3.80%,3.20%,,,,,,,,,
11-Jun,3.80%,3.10%,3.90%,3.40%,,,,,,,,,
11-Jul,4.10%,2.90%,3.80%,3.60%,,,,,,,,,
11-Aug,4.30%,3.00%,3.80%,3.80%,,,,,,,,,
11-Sep,4.10%,3.50%,3.90%,4.00%,,,,,,,,,
11-Oct,3.70%,3.40%,3.30%,3.60%,,,,,,,,,
11-Nov,3.80%,3.20%,3.30%,3.20%,,,,,,,,,
11-Dec,3.30%,2.70%,2.80%,2.90%,,,,,,,,,
12-Jan,3.20%,2.60%,2.80%,2.90%,,,,,,,,,
12-Feb,3.30%,2.50%,2.70%,2.80%,,,,,,,,,
12-Mar,2.80%,2.40%,2.80%,2.50%,,,,,,,,,
12-Apr,2.50%,2.10%,2.30%,2.30%,,,,,,,,,
12-May,1.60%,2.00%,1.50%,1.70%,,,,,,,,,
12-Jun,1.70%,2.00%,1.40%,1.50%,,,,,,,,,
12-Jul,1.40%,1.80%,1.30%,1.10%,,,,,,,,,
12-Aug,1.60%,2.10%,1.80%,1.30%,,,,,,,,,
12-Sep,2.10%,2.20%,1.90%,1.70%,,,,,,,,,
12-Oct,2.10%,2.50%,2.20%,1.90%,,,,,,,,,
12-Nov,1.60%,1.90%,1.80%,1.80%,,,,,,,,,
12-Dec,1.70%,1.70%,1.80%,1.80%,,,,,,,,,
13-Jan,1.60%,1.70%,1.30%,1.80%,,,,,,,,,
13-Feb,1.80%,2.00%,2.20%,2.00%,,,,,,,,,
13-Mar,1.50%,1.50%,1.40%,1.50%,,,,,,,,,
13-Apr,0.90%,1.30%,1.20%,1.10%,,,,,,,,,
13-May,1.30%,1.30%,1.80%,1.20%,,,,,,,,,
13-Jun,1.90%,1.50%,2.20%,1.50%,,,,,,,,,
13-Jul,2.20%,1.90%,1.80%,1.80%,,,,,,,,,
13-Aug,1.70%,1.50%,1.20%,1.50%,,,,,,,,,
13-Sep,1.30%,1.30%,1.00%,1.10%,,,,,,,,,
13-Oct,1.30%,0.90%,0.80%,0.70%,,,,,,,,,
